"logFC","logCPM","PValue","FDR","ENTREZID","SYMBOL","GENENAME"
0.50228367065925,5.94099404622653,0.00243746225450984,0.0255994779493747,"12428",NA,NA
2.09076571221879,-2.47675452764954,8.85452814074931e-05,0.00171351516797834,"12442",NA,NA
-3.50543357533052,0.595419481797918,2.03047045297917e-06,6.06240463818068e-05,"12548",NA,NA
-1.48771545985592,3.6978193405484,3.36155043629197e-05,0.000736721110870853,"12601",NA,NA
1.54833578762433,-0.194251072282852,0.00513552426058644,0.0450288721399246,"12603",NA,NA
-2.37973667845739,0.140178437040629,9.46065763258484e-06,0.000240597919218059,"12629",NA,NA
0.849211049793958,6.15089198954917,0.000301096654488934,0.00482720508138116,"12663",NA,NA
-1.65888698699921,5.85389673466764,3.18255079336291e-07,1.12911794350947e-05,"12695",NA,NA
-0.353030302314111,5.25303646446166,0.00575260938651807,0.0487117826136466,"12705",NA,NA
-3.61782707376191,1.51170500627592,1.3966587187695e-10,1.05622315606944e-08,"12757",NA,NA
-6.9072406025657,2.58337970405585,2.44896975706872e-12,2.85796013781776e-10,"12787",NA,NA
-1.97184857703424,1.42221801670884,1.46873481000863e-07,5.63709737597635e-06,"12788",NA,NA
-3.90486859372527,2.68187242119302,4.24035171190008e-17,2.42315726763956e-14,"12789",NA,NA
-4.99139849232308,1.49249176478341,1.07165441003758e-14,2.59340367229094e-12,"12792",NA,NA
-4.157680153862,3.07350220652696,5.00910207168722e-15,1.40438117839133e-12,"12828",NA,NA
0.698538740194667,7.11479317410031,0.000290564064101762,0.00469200418033343,"12833",NA,NA
0.561522961291164,7.24929601925931,0.00139539834879097,0.0167695807834314,"12850",NA,NA
-6.00549157181484,0.437533420475971,1.45296778033371e-06,4.50185030591266e-05,"12867",NA,NA
0.984973535210388,2.83184669243101,0.00276209257764431,0.0282099104220536,"12869",NA,NA
1.04975156153749,1.86869110935677,6.09280377547627e-05,0.00124381626734504,"12888",NA,NA
-2.76900568936833,2.49387796538912,7.29759298293628e-10,4.59648390897822e-08,"12924",NA,NA
-1.22198676220928,0.789064715118707,0.00241068819832458,0.0254344753003589,"12991",NA,NA
0.558839315695951,4.18933812493817,0.00375534703946716,0.0356172157170458,"12996",NA,NA
-0.772113726096702,3.66069904995904,0.000287747796274931,0.0046595414798646,"13050",NA,NA
-1.78796927027432,-1.01367417569377,0.00106794459659747,0.0135796716127079,"13052",NA,NA
0.796682509136449,7.19153018822454,0.00572763952388246,0.0486077639919002,"13068",NA,NA
-1.82916453606122,-1.37318912936582,0.000211624242719394,0.00356167008793475,"13073",NA,NA
-6.45674126199324,1.32596994600177,2.90148548597319e-16,1.25858776080233e-13,"13159",NA,NA
-4.77350300200145,1.99301646436979,0.000808648681869313,0.0108718322784652,"13247",NA,NA
-6.87812244992944,6.87180497637516,9.61689087084473e-19,1.00496509600327e-15,"13257",NA,NA
-0.857596149018331,3.81416566312074,0.000204599617022282,0.00346628238418738,"13268",NA,NA
0.420962490028412,4.37278099813189,0.00307064645436668,0.030560243283935,"13310",NA,NA
0.76188455905374,8.58037882653435,0.0038062592419667,0.0359870778811459,"13322",NA,NA
-2.83047963787049,4.93593707853686,0.000112711654780704,0.00210186429764044,"13347",NA,NA
-3.46856935169381,2.32267883451037,2.94600732963155e-06,8.42396871992901e-05,"13349",NA,NA
-3.59837285491252,0.102706205591301,1.56686067042742e-05,0.000373673514658988,"13350",NA,NA
0.587958056037733,4.66465463886596,0.00258510740179795,0.0268072256054736,"13362",NA,NA
-8.38202995540269,3.30679765429295,1.19702579504155e-16,5.73325479750108e-14,"13386",NA,NA
-0.486864284480174,5.66824986833923,0.0045684669940464,0.0413174886676344,"13388",NA,NA
0.744827317505935,6.52330375725347,0.00526496329485614,0.0459186290397354,"13400",NA,NA
-0.975039561274203,-0.265452713053795,0.00547428279962947,0.0470833376593646,"13403",NA,NA
2.4419443113366,-0.348959364719383,0.000508170182041203,0.00739419777539701,"13429",NA,NA
-2.38854417553081,1.73385987398927,1.6011642719394e-08,7.57423181314543e-07,"13466",NA,NA
0.626747275132389,5.59703927290057,0.00126297241316221,0.0156274143049511,"13487",NA,NA
0.569842578560658,8.45943907374743,0.000636300375280527,0.00889814210930615,"13510",NA,NA
-0.707722681767953,5.40381468537756,0.00355175840821617,0.0342368661655722,"13543",NA,NA
-1.42744074172287,4.57935111765892,1.91605397344204e-06,5.7581805031938e-05,"13562",NA,NA
